Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0001453,-7.3232E-07,0.02219,0,0,0,0.24946,0.00014181,6.28E-09,-2.6684E-07,0.00013613,1.232E-09,0.00022186,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,,RVN_Base_ASM_v1-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,0.00016679,0.0012245,-0.023903,0,0,0,0.4346,0.00030526,-2.0276E-10,2.2449E-07,0.00038654,2.4833E-05,0.00039063,0,0,0,0,0,0,package://urdf/meshes/shoulder_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf/meshes/shoulder_link.STL,,RVN_Shoulder_ASM_v1-1,shoulder_link,base_yaw,shoulder_pitch,revolute,0,-0.0015,0.1205,0,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
upperArm_link,-0.16504,0.0019744,3.2793E-08,0,0,0,0.38582,0.00023872,-2.5122E-05,3.1395E-10,0.00037986,1.5385E-10,0.00037655,0,0,0,0,0,0,package://urdf/meshes/upperArm_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf/meshes/upperArm_link.STL,,RVN_UpperArm_ASM_v1-1,shoulder_link,shoulder_pitch,upperArm_pitch,revolute,0,0,0,0,0,0,shoulder_link,0,1,0,0,0,0,3.14,,,,,,,,
foreArm_link,0.016262,0.0021201,0.041839,0,0,0,0.16941,0.00021126,8.6409E-12,-2.3572E-10,0.00031247,3.9576E-06,0.00028419,0,0,0,0,0,0,package://urdf/meshes/foreArm_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf/meshes/foreArm_link.STL,,RVN_ForeArm_ASM_v1-1,forearm_link,upperarm_pitch,foreArm_pitch,fixed,-0.22125,0,0,0,0,0,upperArm_link,0,0,0,,,,,,,,,,,,
