Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000135180217880393,-1.17644028071497E-06,0.0218654560965951,0,0,0,0.24552070353348,0.000139107176438768,-1.24417069867494E-08,-2.86075564744803E-07,0.000133683116485187,2.41046355485852E-09,0.000219518135807073,0,0,0,0,0,0,package://RAVEN_assembly_v2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://RAVEN_assembly_v2/meshes/base_link.STL,,base_link.step-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,0.000168260272886522,-0.00040845047063651,0.0458708184902644,0,0,0,0.430665397462828,0.000302813515167828,2.55071769255206E-10,2.19436659719587E-07,0.000384197786303007,2.48139872627777E-05,0.000387931332540381,0,0,0,0,0,0,package://RAVEN_assembly_v2/meshes/shoulder_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://RAVEN_assembly_v2/meshes/shoulder_link.STL,,Shoulder_link.step-1,shoulder_frame,Z_axis,shoulder_Joint,revolute,0,0,0.0504,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
upperArm_link,-0.161778684178383,-0.027362923797556,-5.40396077852306E-05,0,0,0,0.41988933274855,0.000235494315900477,-2.16848804254193E-05,5.35981963365909E-09,0.00043094043867717,-3.73332186967083E-10,0.000420759190691544,0,0,0,0,0,0,package://RAVEN_assembly_v2/meshes/upperArm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://RAVEN_assembly_v2/meshes/upperArm_link.STL,,UpperArm_link.step-1,upperArm_frame,UpparArm_Joint,upperArm_Joint,revolute,0,0.027,0.07,0,0,0,shoulder_link,0,1,0,0,0,0,0,,,,,,,,
foreArm_link,0.0326979274237842,-0.0265302108131705,0.0455755672877358,0,0,0,0.210338139477223,0.000217945923640569,-1.09410906733934E-07,3.59257953883381E-06,0.000271694167213393,4.04298660092369E-06,0.000241183247775798,0,0,0,0,0,0,package://RAVEN_assembly_v2/meshes/foreArm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://RAVEN_assembly_v2/meshes/foreArm_link.STL,,ForeArm_link.step-1,foreArm_frame,ForeArm_Joint,foreArm_Joint,revolute,-0.225,-2.5E-05,-7.5E-05,0,0,0,upperArm_link,0,1,0,0,0,0,0,,,,,,,,
